OrderID,CustomerID,OrderDate,ShippedDate,ShippingCost,ShipCountry,ShipCity,ShippingCompany,DeliveryDays,DeliveryStatus
1000.0,C001,2025-05-17,2025-07-30,,Germany,Hamburg,Kiwilytics Goods Shipping LLC,74 days,Delivered
1001.0,C002,2025-01-26,2025-07-30,320.61,Canada,Montreal,UPS Worldwide,185 days,Delivered
1002.0,C003,2025-03-08,2025-07-30,165.17,Canada,Vancouver,FedEx Logistics,144 days,Delivered
1003.0,C004,2025-03-24,2025-07-30,12.55,Germany,Munich,Aramex International,128 days,Delivered
1004.0,C005,2025-04-15,2025-07-30,186.36,Canada,Vancouver,FedEx Logistics,106 days,Delivered
1005.0,C006,2024-12-24,2025-07-30,74.93,Usa,New York,UPS Worldwide,218 days,Delivered
1006.0,C007,2024-12-24,2025-07-30,229.93,Usa,Los Angeles,Aramex International,218 days,Delivered
1007.0,C008,2024-08-10,2025-07-30,209.94,Germany,Berlin,Aramex International,354 days,Delivered
1008.0,C009,2025-02-06,2025-07-30,,Usa,Houston,DHL Express,174 days,Delivered
1009.0,C010,2025-02-06,2025-07-30,394.37,Usa,Chicago,Kiwilytics Goods Shipping LLC,174 days,Delivered
1010.0,C011,2024-12-03,2025-07-30,16.05,Germany,Unspecified,Aramex International,239 days,Delivered
1011.0,C012,2024-10-08,2025-07-30,391.79,Canada,Vancouver,DHL Express,295 days,Delivered
1012.0,C013,2024-10-08,2025-07-30,284.17,Canada,Vancouver,Kiwilytics Goods Shipping LLC,295 days,Delivered
1013.0,C014,2025-02-04,2025-07-30,128.94,Usa,New York,DHL Express,176 days,Delivered
1014.0,C015,2024-10-20,,345.8,Canada,Montreal,FedEx Logistics,,Pending
1015.0,Unknown,2024-12-14,2025-07-30,141.77,Canada,Toronto,FedEx Logistics,228 days,Delivered
1016.0,C017,2025-06-04,2025-07-30,81.51,Germany,Munich,Kiwilytics Goods Shipping LLC,56 days,Delivered
1017.0,C018,2024-11-07,2025-07-30,145.22,Usa,Chicago,DHL Express,265 days,Delivered
1018.0,C019,2024-12-09,2025-07-30,393.51,Egypt,Giza,UPS Worldwide,233 days,Delivered
1019.0,C020,2024-11-15,2025-07-30,,Usa,Chicago,DHL Express,257 days,Delivered
1020.0,C021,2025-07-06,,252.94,Uk,Manchester,UPS Worldwide,,Pending
1021.0,C022,2025-03-18,2025-07-30,234.35,Canada,Toronto,Aramex International,134 days,Delivered
1022.0,C023,2025-04-28,,13.32,Egypt,Giza,Aramex International,,Pending
1023.0,C024,2025-07-06,2025-07-30,422.39,Egypt,Giza,Aramex International,24 days,Delivered
1024.0,C025,2025-07-06,2025-07-30,432.48,Uk,London,DHL Express,24 days,Delivered
1025.0,C026,2025-03-02,2025-07-30,221.0,Germany,Hamburg,Kiwilytics Goods Shipping LLC,150 days,Delivered
1026.0,C027,2024-08-02,2025-07-30,329.01,Germany,Munich,UPS Worldwide,362 days,Delivered
1027.0,C028,2025-02-15,2025-07-30,157.21,Canada,Montreal,DHL Express,165 days,Delivered
1028.0,C029,2024-10-12,2025-07-30,350.69,Germany,Berlin,Aramex International,291 days,Delivered
1029.0,C030,2024-09-01,2025-07-30,97.04,Egypt,Alexandria,FedEx Logistics,332 days,Delivered
1030.0,C001,2024-09-01,2025-07-30,,Uk,London,Aramex International,332 days,Delivered
1031.0,C002,2024-10-31,2025-07-30,320.12,Canada,Montreal,Kiwilytics Goods Shipping LLC,272 days,Delivered
