OrderID,CustomerID,OrderDate,ShippedDate,ShippingCost,ShipCountry,ShipCity,ShippingCompany,DeliveryDays
1000.0,C001,2025-05-17,2025-07-30,,Germany,Hamburg,Kiwilytics Goods Shipping LLC,74 days
1001.0,C002,2025-01-26,2025-07-30,320.61,Canada,Montreal,UPS Worldwide,185 days
1002.0,C003,2025-03-08,2025-07-30,165.17,Canada,Vancouver,FedEx Logistics,144 days
1003.0,C004,2025-03-24,2025-07-30,12.55,Germany,Munich,Aramex International,128 days
1004.0,C005,2025-04-15,2025-07-30,186.36,Canada,Vancouver,FedEx Logistics,106 days
1005.0,C006,2024-12-24,2025-07-30,74.93,Usa,New York,UPS Worldwide,218 days
1006.0,C007,2024-12-24,2025-07-30,229.93,Usa,Los Angeles,Aramex International,218 days
1007.0,C008,2024-08-10,2025-07-30,209.94,Germany,Berlin,Aramex International,354 days
1008.0,C009,2025-02-06,2025-07-30,,Usa,Houston,DHL Express,174 days
1009.0,C010,2025-02-06,2025-07-30,394.37,Usa,Chicago,Kiwilytics Goods Shipping LLC,174 days
1010.0,C011,2024-12-03,2025-07-30,16.05,Germany,Unspecified,Aramex International,239 days
1011.0,C012,2024-10-08,2025-07-30,391.79,Canada,Vancouver,DHL Express,295 days
1012.0,C013,2024-10-08,2025-07-30,284.17,Canada,Vancouver,Kiwilytics Goods Shipping LLC,295 days
1013.0,C014,2025-02-04,2025-07-30,128.94,Usa,New York,DHL Express,176 days
1014.0,C015,2024-10-20,,345.8,Canada,Montreal,FedEx Logistics,
1015.0,Unknown,2024-12-14,2025-07-30,141.77,Canada,Toronto,FedEx Logistics,228 days
1016.0,C017,2025-06-04,2025-07-30,81.51,Germany,Munich,Kiwilytics Goods Shipping LLC,56 days
1017.0,C018,2024-11-07,2025-07-30,145.22,Usa,Chicago,DHL Express,265 days
1018.0,C019,2024-12-09,2025-07-30,393.51,Egypt,Giza,UPS Worldwide,233 days
1019.0,C020,2024-11-15,2025-07-30,,Usa,Chicago,DHL Express,257 days
1020.0,C021,2025-07-06,,252.94,Uk,Manchester,UPS Worldwide,
1021.0,C022,2025-03-18,2025-07-30,234.35,Canada,Toronto,Aramex International,134 days
1022.0,C023,2025-04-28,,13.32,Egypt,Giza,Aramex International,
1023.0,C024,2025-07-06,2025-07-30,422.39,Egypt,Giza,Aramex International,24 days
1024.0,C025,2025-07-06,2025-07-30,432.48,Uk,London,DHL Express,24 days
1025.0,C026,2025-03-02,2025-07-30,221.0,Germany,Hamburg,Kiwilytics Goods Shipping LLC,150 days
1026.0,C027,2024-08-02,2025-07-30,329.01,Germany,Munich,UPS Worldwide,362 days
1027.0,C028,2025-02-15,2025-07-30,157.21,Canada,Montreal,DHL Express,165 days
1028.0,C029,2024-10-12,2025-07-30,350.69,Germany,Berlin,Aramex International,291 days
1029.0,C030,2024-09-01,2025-07-30,97.04,Egypt,Alexandria,FedEx Logistics,332 days
1030.0,C001,2024-09-01,2025-07-30,,Uk,London,Aramex International,332 days
1031.0,C002,2024-10-31,2025-07-30,320.12,Canada,Montreal,Kiwilytics Goods Shipping LLC,272 days
1032.0,C003,2025-05-05,2025-07-30,393.17,Usa,Houston,Aramex International,86 days
1033.0,C004,2025-01-03,2025-07-30,,Germany,Berlin,Kiwilytics Goods Shipping LLC,208 days
1034.0,C005,2025-02-04,,188.86,Canada,Montreal,FedEx Logistics,
1035.0,C006,2025-03-02,2025-07-30,107.9,Uk,Liverpool,UPS Worldwide,150 days
1036.0,C007,2025-05-20,2025-07-30,98.16,Canada,Montreal,Aramex International,71 days
1037.0,C008,2025-05-20,2025-07-30,23.19,Germany,Berlin,Kiwilytics Goods Shipping LLC,71 days
1038.0,C009,2024-10-31,2025-07-30,472.06,Egypt,Cairo,UPS Worldwide,272 days
1039.0,C010,2025-04-24,,400.87,Uk,Liverpool,FedEx Logistics,
1040.0,C011,2025-01-30,2025-07-30,43.89,Usa,Los Angeles,Kiwilytics Goods Shipping LLC,181 days
1041.0,C012,2025-04-06,2025-07-30,399.57,Uk,Manchester,FedEx Logistics,115 days
1042.0,C013,2025-05-02,2025-07-30,78.2,Canada,Montreal,FedEx Logistics,89 days
1043.0,C014,2025-02-05,2025-07-30,133.81,Usa,Chicago,DHL Express,175 days
1044.0,C015,2025-01-20,,217.33,Palestine,Gaza,UPS Worldwide,
,C016,2025-06-02,,230.04,Uk,London,DHL Express,
